sample_idx,unix_t,iso_approx_note,luxi_gpu_power_watts,luxi_gpu_power_samples,luxi_gpu_count,luxi_energy_joules_total,completed_ok_if_present
155,1783736123.8592482,offset_s=1550.4,63.64,2928.0,1.0,14234293.679938663,
156,1783736133.8607984,offset_s=1560.4,63.66,2947.0,1.0,14325274.639937755,
157,1783736143.8648524,offset_s=1570.4,63.64,2965.0,1.0,14416333.119936844,
158,1783736153.866757,offset_s=1580.4,63.71,2984.0,1.0,14506033.91993595,
159,1783736163.8680341,offset_s=1590.4,63.74,3003.0,1.0,14596387.839935046,
160,1783736173.8697932,offset_s=1600.4,63.6,3021.0,1.0,14686915.759934142,
161,1783736183.8749373,offset_s=1610.4,63.62,3040.0,1.0,14778297.83993323,
162,1783736193.8763137,offset_s=1620.4,63.57,3059.0,1.0,14869155.039932322,
163,1783736203.879925,offset_s=1630.4,63.57,3077.0,1.0,14960434.239931408,
164,1783736213.8836815,offset_s=1640.4,63.54,3096.0,1.0,15051258.959930502,
165,1783736223.8858693,offset_s=1650.4,63.6,3114.0,1.0,15142137.279929593,
166,1783736233.888591,offset_s=1660.4,63.6,3133.0,1.0,15233582.63992868,
167,1783736243.8911672,offset_s=1670.4,63.6,3152.0,1.0,15324996.719927767,
168,1783736253.8935015,offset_s=1680.4,63.63,3170.0,1.0,15416100.479926858,
169,1783736263.8951933,offset_s=1690.4,63.62,3189.0,1.0,15507734.079925941,
170,1783736273.8968172,offset_s=1700.4,63.66,3206.0,1.0,15598585.839925036,
171,1783736283.899439,offset_s=1710.4,63.67,3225.0,1.0,15689896.799924122,
172,1783736293.9008284,offset_s=1720.5,63.68,3244.0,1.0,15780896.719923213,
173,1783736303.9032176,offset_s=1730.5,63.75,3262.0,1.0,15872484.799922297,
174,1783736313.9059422,offset_s=1740.5,63.83,3281.0,1.0,15964189.519921383,
175,1783736323.9072208,offset_s=1750.5,63.86,3300.0,1.0,16055124.719920473,
176,1783736333.9106033,offset_s=1760.5,63.94,3318.0,1.0,16146842.479919558,
177,1783736343.9166803,offset_s=1770.5,63.95,3337.0,1.0,16238017.599918647,
178,1783736353.9192977,offset_s=1780.5,64.02,3355.0,1.0,16328894.959917739,
179,1783736363.9205976,offset_s=1790.5,63.84,3374.0,1.0,16420108.479916828,
